city,lat,lng,max_temp,humidity,cloudiness,wind speed,country,date
Srednekolymsk,67.45,153.6833,-17.91,86,100,12.73,RU,1613344578
Weligama,5.9667,80.4167,74.82,91,99,2.55,LK,1613344579
Dukat,62.55,155.55,-28.86,82,8,3.0,RU,1613344579
Mikhaylovka,50.06,43.2379,9.0,80,88,8.01,RU,1613344579
Guarujá,-23.9931,-46.2564,84.0,26,99,10.31,BR,1613344579
Avera,33.194,-82.5271,42.8,95,90,5.75,US,1613344579
Władysławowo,54.7909,18.4009,28.99,74,90,12.66,PL,1613344579
Ostrovnoy,68.0531,39.5131,11.89,95,93,18.79,RU,1613344579
Bathsheba,13.2167,-59.5167,78.8,65,20,21.85,BB,1613344580
Kokopo,-4.352,152.2633,82.76,71,41,4.99,PG,1613344580
Ternate,0.8,127.4,78.94,86,98,13.15,ID,1613344580
Narsaq,60.9167,-46.05,32.0,74,75,1.14,GL,1613344580
Wanning,18.8003,110.3967,62.2,85,11,3.36,CN,1613344580
Tuatapere,-46.1333,167.6833,57.99,78,98,13.0,NZ,1613344580
Norden,53.6,7.2,32.0,45,100,20.0,DE,1613344580
Bubaque,11.2833,-15.8333,77.32,72,95,14.65,GW,1613344580
Kasongo,-4.45,26.6667,71.38,90,100,2.01,CD,1613344580
Amvrosiyivka,47.7935,38.4777,16.12,89,67,6.62,UA,1613344581
Sacalum,20.4833,-89.5833,82.99,61,75,11.5,MX,1613344581
Ust-Kuyga,70.0167,135.6,-14.78,84,99,4.72,RU,1613344581
Cherskiy,68.75,161.3,-5.39,91,97,2.33,RU,1613344581
Honningsvåg,70.9821,25.9704,26.6,86,75,18.41,NO,1613344581
Gunnedah,-30.9833,150.25,69.8,60,0,13.8,AU,1613344582
Husavik,66.0449,-17.3389,41.0,70,75,9.22,IS,1613344582
Kembé,4.6228,21.8865,74.43,55,59,1.61,CF,1613344582
Kattivākkam,13.2167,80.3167,71.6,88,20,2.51,IN,1613344582
Guarapari,-20.6667,-40.4975,78.8,78,0,16.11,BR,1613344582
Steger,41.47,-87.6364,5.0,47,90,6.91,US,1613344582
Adeje,28.1227,-16.726,64.0,82,20,4.61,ES,1613344582
Esperance,-33.8667,121.9,64.4,68,66,16.11,AU,1613344582
Nouadhibou,20.931,-17.0347,66.2,68,0,19.57,MR,1613344286
Tocopilla,-22.092,-70.1979,72.14,63,8,9.69,CL,1613344583
Ankang,32.68,109.0172,51.04,46,100,5.06,CN,1613344583
Kismayo,-0.3582,42.5454,76.12,84,0,14.36,SO,1613344583
Vila,42.0304,-8.1588,46.99,83,95,1.99,PT,1613344583
Terre Haute,39.4667,-87.4139,10.4,67,40,10.36,US,1613344583
Magadan,59.5667,150.8,-7.8,79,42,7.16,RU,1613344583
Nehe,48.4833,124.8333,-9.78,85,0,5.55,CN,1613344583
Mango,27.9797,-82.3065,71.6,94,90,9.22,US,1613344583
Spijkenisse,51.845,4.3292,36.0,53,100,17.0,NL,1613344584
Kalakamati,-20.5929,27.3121,67.75,89,62,4.52,BW,1613344584
Marsabit,2.3284,37.9899,71.92,48,21,10.92,KE,1613344584
Guerrero Negro,27.9769,-114.0611,61.84,64,89,19.84,MX,1613344584
Keetmanshoop,-26.5833,18.1333,65.12,56,0,18.05,NA,1613344584
Maniitsoq,65.4167,-52.9,3.22,85,56,13.35,GL,1613344584
Salinópolis,-0.6136,-47.3561,79.27,84,100,13.02,BR,1613344584
Khani,41.9563,42.9566,39.2,93,90,3.44,GE,1613344584
Tambovka,50.0969,128.0489,-14.8,76,0,4.47,RU,1613344585
Saint George,37.1041,-113.5841,52.0,29,1,13.8,US,1613344510
Beira,-19.8436,34.8389,75.2,100,75,8.05,MZ,1613344585
Buraidah,26.326,43.975,64.4,52,0,6.91,SA,1613344585
Nioro,13.35,-15.75,73.47,22,39,6.58,GM,1613344585
San Juan,-31.5375,-68.5364,90.64,21,5,1.88,AR,1613344585
Port Antonio,18.18,-76.4612,82.4,65,75,21.85,JM,1613344586
Priargunsk,50.3691,119.1012,-26.52,83,17,0.81,RU,1613344586
Fairmont,39.4851,-80.1426,28.99,85,100,1.01,US,1613344509
